transformed_file_name,class_indices
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop0.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop1.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop2.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop3.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop4.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop5.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop6.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop7.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop8.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop9.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop10.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop11.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop12.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop13.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop14.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop15.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop16.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop17.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop18.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop19.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop20.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop21.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop22.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop23.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop24.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop25.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop26.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop27.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop28.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop29.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop30.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop31.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop32.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop33.jpg,0
drive/My Drive/Extracurriculars/IEEE/PocketRacers/transformed_images/stop34.jpg,0
